120	1	9	10
304	1	2	3
5	1	6	7
5	1	1	2
7	1	1	2
8	1	3	4
10	1	123	124
11	1	569	570
19	1	234	235
20	1	723	724
3	2	33	35
4	2	12	14
5	2	61	63
6	2	12	14
7	2	1	3
8	2	40	42
9	2	10	12
10	2	1	3
15	2	2	4
19	2	4	6
1	3	1	4
5	3	9	12
7	3	1	4
10	3	2	5
12	3	1	4
14	3	1	4
16	3	1	4
19	3	4	7
1	4	1	5
3	4	2	6
5	4	7	11
6	4	1	5
10	4	1	5
11	4	1	5
13	4	1	5
16	4	1	5
1	5	1	6
3	5	4	9
4	5	1	6
15	5	2	7
17	5	1	6
19	5	3	8
3	6	1	7
4	6	1	7
7	6	2	8
10	6	1	7
15	6	1	7
17	6	1	7
1	7	1	8
2	7	7	14
3	7	2	9
11	7	1	8
12	7	2	9
1	8	1	9
4	8	3	11
5	8	6	14
6	8	1	9
7	8	1	9
10	8	1	9
12	8	1	9
13	8	1	9
20	8	6	14
4	9	1	10
5	9	6	15
6	9	1	10
8	9	5	14
10	9	1	10
14	9	1	10
15	9	3	12
16	9	1	10
17	9	1	10
18	9	9	18
1	10	1	11
2	10	5	15
7	10	2	12
11	10	1	11
12	10	1	11
16	10	2	12
17	10	1	11
20	10	5	15
2	11	8	19
4	11	1	12
7	11	1	12
8	11	2	13
18	11	8	19
2	12	6	18
10	12	1	13
11	12	1	13
13	12	1	13
15	12	2	14
16	12	3	15
17	12	1	13
20	12	4	16
2	13	7	20
8	13	5	18
9	13	1	14
10	13	1	14
12	13	1	14
15	13	1	14
1	14	1	15
3	14	2	16
4	14	1	15
6	14	1	15
16	14	1	15
17	14	1	15
18	14	9	23
6	15	1	16
9	15	1	16
10	15	1	16
12	15	2	17
16	15	3	18
19	15	3	18
